;kamera1;kamera2;kamera1_koord;kamera2_koord;distance;duration
8017;Gy1J;F20;47.471964836026, 18.858080126141;48.376345640262, 21.633176054916;295572;10589
8018;Gy1J;F21;47.471964836026, 18.858080126141;48.066597247215, 21.53206912197;286567;9561
8019;Gy1J;F22;47.471964836026, 18.858080126141;48.089160008212, 22.27659217874;323571;10321
8020;Gy1J;F23;47.471964836026, 18.858080126141;47.144221988453, 21.675450249618;249188;9973
8021;Gy1J;F24;47.471964836026, 18.858080126141;46.167056244213, 20.627359497593;226904;7789
8022;Gy1J;F25;47.471964836026, 18.858080126141;46.876397341333, 20.022332770319;125900;4879
8023;Gy1J;F26;47.471964836026, 18.858080126141;46.655024556317,21.225962687052;230176;8643
8024;Gy1J;F27B;47.471964836026, 18.858080126141;46.379079490009, 20.248264839326;196089;6727
8025;Gy1J;F27J;47.471964836026, 18.858080126141;46.378973739396, 20.247963372239;196115;6728
8026;Gy1J;F28;47.471964836026, 18.858080126141;47.526258855137, 21.919988317573;294377;10649
8027;Gy1J;F29;47.471964836026, 18.858080126141;47.857086975049, 22.637265932974;347400;12257
8028;Gy1J;F30;47.471964836026, 18.858080126141;46.803526155586, 18.928004380753;89373;3183
8029;Gy1J;F31;47.471964836026, 18.858080126141;46.263345770897, 19.533663359931;174945;7090
8030;Gy1J;F32;47.471964836026, 18.858080126141;46.201513590529, 18.820681199919;171551;5518
8031;Gy1J;F33;47.471964836026, 18.858080126141;45.971233620929, 18.673734618994;198827;6404
8032;Gy1J;F34;47.471964836026, 18.858080126141;45.8784138959, 18.236275560019;235390;7717
8033;Gy1J;F35;47.471964836026, 18.858080126141;46.058445164555, 17.448098903741;229835;8734
8034;Gy1J;F36;47.471964836026, 18.858080126141;46.702458506694, 16.788524126318;215582;7936
8035;Gy1J;F37;47.471964836026, 18.858080126141;47.635056880418, 16.652330516763;196421;6697
8036;Gy1J;F38;47.471964836026, 18.858080126141;46.811901582638, 16.565857119342;248506;9393
8037;Gy1J;F39;47.471964836026, 18.858080126141;47.288863417887, 16.610039047667;213076;7418
8038;Gy1J;F40;47.471964836026, 18.858080126141;47.245496499058, 16.534248410882;217352;7612
8039;Gy1J;F41;47.471964836026, 18.858080126141;47.910361887547, 17.251715607309;155105;5608
8040;Gy1J;F42;47.471964836026, 18.858080126141;46.195044659138, 20.448144697766;209148;7276
8041;Gy1J;F43;47.471964836026, 18.858080126141;46.683815901125, 20.183667378285;157594;5740
8042;Gy1J;F45BJ;47.471964836026, 18.858080126141;47.11432337191, 17.848645761646;110096;4147
8043;Gy1J;F46B;47.471964836026, 18.858080126141;47.653403571486, 17.416396700878;128037;4340
8044;Gy1J;F46J;47.471964836026, 18.858080126141;47.653506839605, 17.416740354468;128009;4339
8045;Gy1J;F47B;47.471964836026, 18.858080126141;47.297160417543, 16.832093255331;190586;6420
8046;Gy1J;F47J;47.471964836026, 18.858080126141;47.297002459483, 16.831835285078;190612;6421
8047;Gy1J;F48;47.471964836026, 18.858080126141;48.0530521654, 19.0114679159;99840;5334
8048;Gy1J;F49;47.471964836026, 18.858080126141;48.1426427598, 19.8152150078;157350;6252
